日期,最高点,最低点,收盘价,最近5天最高点,最近5天最低点,建议操作
2013-01-04,2296.11,2256.56,2276.99,2296.11,2256.56,
2013-01-07,2293.32,2266.86,2285.36,2296.11,2256.56,
2013-01-08,2289.14,2262.98,2276.07,2296.11,2256.56,
2013-01-09,2283.9,2259.05,2275.34,2296.11,2256.56,
2013-01-10,2295.48,2268.65,2283.66,2296.11,2256.56,
2013-01-11,2290.21,2234.95,2243.0,2295.48,2234.95,卖出
2013-01-14,2317.62,2235.11,2311.74,2317.62,2234.95,买入
2013-01-15,2332.78,2309.32,2325.68,2332.78,2234.95,买入
2013-01-16,2326.76,2279.51,2309.5,2332.78,2234.95,
2013-01-17,2305.6,2275.88,2284.91,2332.78,2234.95,
2013-01-18,2324.51,2285.97,2317.07,2332.78,2235.11,
2013-01-21,2329.58,2305.1,2328.22,2332.78,2275.88,
2013-01-22,2335.81,2301.3,2315.14,2335.81,2275.88,
2013-01-23,2325.12,2296.49,2320.91,2335.81,2275.88,
2013-01-24,2362.94,2287.3,2302.6,2362.94,2285.97,
2013-01-25,2308.38,2288.26,2291.3,2362.94,2287.3,
2013-01-28,2346.92,2295.35,2346.51,2362.94,2287.3,
2013-01-29,2363.8,2337.35,2358.98,2363.8,2287.3,
2013-01-30,2383.76,2347.89,2382.48,2383.76,2287.3,买入
2013-01-31,2391.82,2371.23,2385.42,2391.82,2288.26,买入
2013-02-01,2421.15,2369.57,2419.02,2421.15,2295.35,买入
2013-02-04,2440.38,2417.59,2428.15,2440.38,2337.35,买入
2013-02-05,2437.42,2403.3,2433.13,2440.38,2347.89,
2013-02-06,2441.73,2427.7,2434.48,2441.73,2369.57,
2013-02-07,2433.89,2394.22,2418.53,2441.73,2369.57,
2013-02-08,2443.03,2414.4,2432.4,2443.03,2394.22,
2013-02-18,2444.8,2415.43,2421.56,2444.8,2394.22,
2013-02-19,2427.08,2373.54,2382.91,2444.8,2373.54,卖出
2013-02-20,2397.94,2370.61,2397.18,2444.8,2370.61,
2013-02-21,2378.82,2309.17,2325.95,2444.8,2309.17,卖出
2013-02-22,2330.88,2308.76,2314.16,2444.8,2308.76,
2013-02-25,2338.78,2315.01,2325.82,2427.08,2308.76,
2013-02-26,2340.71,2289.89,2293.34,2397.94,2289.89,卖出
2013-02-27,2324.63,2292.03,2313.22,2378.82,2289.89,
2013-02-28,2366.16,2308.92,2365.59,2366.16,2289.89,
2013-03-01,2369.65,2330.86,2359.51,2369.65,2289.89,
2013-03-04,2333.54,2259.25,2273.4,2369.65,2259.25,卖出
2013-03-05,2328.14,2270.1,2326.31,2369.65,2259.25,
2013-03-06,2351.44,2321.6,2347.18,2369.65,2259.25,
2013-03-07,2352.02,2304.27,2324.29,2369.65,2259.25,
2013-03-08,2333.67,2314.59,2318.61,2352.02,2259.25,
2013-03-11,2320.96,2296.58,2310.59,2352.02,2270.1,
2013-03-12,2333.29,2264.83,2286.61,2352.02,2264.83,
2013-03-13,2286.33,2253.25,2263.97,2352.02,2253.25,卖出
2013-03-14,2276.22,2253.31,2270.28,2333.67,2253.25,
2013-03-15,2312.08,2250.01,2278.4,2333.29,2250.01,
2013-03-18,2276.05,2239.21,2240.02,2333.29,2239.21,卖出
2013-03-19,2261.31,2232.02,2257.43,2312.08,2232.02,
2013-03-20,2317.86,2257.42,2317.37,2317.86,2232.02,买入
2013-03-21,2330.81,2311.6,2324.24,2330.81,2232.02,买入
2013-03-22,2332.0,2314.97,2328.28,2332.0,2232.02,
2013-03-25,2344.89,2319.91,2326.72,2344.89,2232.02,
2013-03-26,2319.99,2281.12,2297.67,2344.89,2257.42,
2013-03-27,2323.48,2289.0,2301.26,2344.89,2281.12,
2013-03-28,2273.55,2232.91,2236.3,2344.89,2232.91,卖出
2013-03-29,2246.87,2228.81,2236.62,2344.89,2228.81,
2013-04-01,2243.95,2227.31,2234.4,2323.48,2227.31,
2013-04-02,2253.42,2220.44,2227.74,2323.48,2220.44,
2013-04-03,2241.34,2217.25,2225.3,2273.55,2217.25,
2013-04-08,2212.59,2180.67,2211.59,2253.42,2180.67,卖出
2013-04-09,2234.73,2215.47,2225.78,2253.42,2180.67,
2013-04-10,2233.04,2212.56,2226.13,2253.42,2180.67,
2013-04-11,2242.48,2217.27,2219.55,2242.48,2180.67,
2013-04-12,2226.26,2204.44,2206.78,2242.48,2180.67,
2013-04-15,2204.99,2177.39,2181.94,2242.48,2177.39,
2013-04-16,2196.43,2165.78,2194.85,2242.48,2165.78,
2013-04-17,2197.51,2178.47,2193.8,2242.48,2165.78,
2013-04-18,2206.03,2175.44,2197.6,2226.26,2165.78,
2013-04-19,2250.11,2200.58,2244.64,2250.11,2165.78,买入
2013-04-22,2245.12,2232.26,2242.17,2250.11,2165.78,
2013-04-23,2242.62,2182.81,2184.54,2250.11,2175.44,
2013-04-24,2226.12,2184.11,2218.32,2250.11,2175.44,
2013-04-25,2224.63,2191.85,2199.31,2250.11,2182.81,
2013-04-26,2210.58,2173.86,2177.91,2245.12,2173.86,卖出
2013-05-02,2179.65,2161.14,2174.12,2242.62,2161.14,
2013-05-03,2222.81,2179.05,2205.5,2226.12,2161.14,
2013-05-06,2236.07,2212.5,2231.17,2236.07,2161.14,买入
2013-05-07,2240.26,2219.44,2235.58,2240.26,2161.14,
2013-05-08,2255.21,2235.42,2246.3,2255.21,2161.14,买入
2013-05-09,2247.86,2221.38,2232.97,2255.21,2179.05,
2013-05-10,2247.67,2225.81,2246.83,2255.21,2212.5,
2013-05-13,2250.85,2231.36,2241.92,2255.21,2219.44,
2013-05-14,2239.93,2205.87,2217.01,2255.21,2205.87,卖出
2013-05-15,2225.19,2213.58,2224.8,2250.85,2205.87,
2013-05-16,2252.87,2210.77,2251.81,2252.87,2205.87,买入
2013-05-17,2288.09,2248.41,2282.87,2288.09,2205.87,买入
2013-05-20,2309.39,2281.9,2299.99,2309.39,2205.87,买入
2013-05-21,2305.3,2290.12,2305.11,2309.39,2210.77,
2013-05-22,2314.18,2292.43,2302.4,2314.18,2210.77,
2013-05-23,2304.95,2274.1,2275.67,2314.18,2248.41,
2013-05-24,2292.6,2270.25,2288.53,2314.18,2270.25,
2013-05-27,2301.7,2283.94,2293.08,2314.18,2270.25,
2013-05-28,2322.1,2281.47,2321.32,2322.1,2270.25,买入
2013-05-29,2334.34,2321.17,2324.02,2334.34,2270.25,买入
2013-05-30,2325.72,2310.49,2317.75,2334.34,2270.25,
2013-05-31,2325.53,2299.37,2300.6,2334.34,2281.47,
2013-06-03,2313.43,2294.11,2299.25,2334.34,2281.47,
2013-06-04,2297.1,2264.76,2272.42,2334.34,2264.76,卖出
2013-06-05,2276.87,2260.87,2270.93,2325.72,2260.87,
2013-06-06,2266.69,2240.07,2242.11,2325.53,2240.07,卖出
2013-06-07,2250.63,2205.07,2210.9,2313.43,2205.07,卖出
2013-06-13,2190.1,2126.22,2148.36,2297.1,2126.22,卖出
2013-06-14,2163.85,2142.78,2162.04,2276.87,2126.22,
2013-06-17,2169.36,2147.03,2156.22,2266.69,2126.22,
2013-06-18,2161.68,2138.35,2159.29,2250.63,2126.22,
2013-06-19,2150.82,2115.79,2143.45,2190.1,2115.79,
2013-06-20,2132.81,2082.83,2084.02,2169.36,2082.83,卖出
2013-06-21,2085.86,2042.88,2073.1,2169.36,2042.88,卖出
2013-06-24,2068.86,1958.4,1963.24,2161.68,1958.4,卖出
2013-06-25,1963.57,1849.65,1959.51,2150.82,1849.65,
2013-06-26,1959.16,1922.82,1951.5,2132.81,1849.65,
2013-06-27,1980.54,1942.37,1950.01,2085.86,1849.65,
2013-06-28,1987.98,1925.65,1979.21,2068.86,1849.65,
2013-07-01,1995.92,1957.57,1995.24,1995.92,1849.65,
2013-07-02,2007.62,1978.43,2006.56,2007.62,1922.82,买入
2013-07-03,1996.54,1965.52,1994.27,2007.62,1925.65,
2013-07-04,2022.14,1974.1,2006.1,2022.14,1925.65,
2013-07-05,2021.54,2002.37,2007.2,2022.14,1957.57,
2013-07-08,1983.22,1953.12,1958.27,2022.14,1953.12,
2013-07-09,1969.15,1946.37,1965.45,2022.14,1946.37,
2013-07-10,2009.36,1960.28,2008.13,2022.14,1946.37,
2013-07-11,2092.87,2010.4,2072.99,2092.87,1946.37,买入
2013-07-12,2074.86,2036.05,2039.49,2092.87,1946.37,
2013-07-15,2076.67,2037.25,2059.39,2092.87,1946.37,
2013-07-16,2066.36,2038.54,2065.72,2092.87,1960.28,
2013-07-17,2075.81,2043.23,2044.92,2092.87,2010.4,
2013-07-18,2043.37,2016.9,2023.4,2076.67,2016.9,
2013-07-19,2035.22,1990.25,1992.65,2076.67,1990.25,卖出
2013-07-22,2005.47,1970.64,2004.76,2075.81,1970.64,
2013-07-23,2051.53,2005.09,2043.88,2075.81,1970.64,
2013-07-24,2042.77,2010.42,2033.33,2051.53,1970.64,
2013-07-25,2045.37,2016.43,2021.17,2051.53,1970.64,
2013-07-26,2021.57,2000.8,2010.85,2051.53,1970.64,
2013-07-29,1997.84,1969.85,1976.31,2051.53,1969.85,
2013-07-30,2006.23,1965.36,1990.06,2045.37,1965.36,
2013-07-31,2015.47,1987.88,1993.8,2045.37,1965.36,
2013-08-01,2029.93,1997.06,2029.07,2029.93,1965.36,
2013-08-02,2047.08,2025.65,2029.42,2047.08,1965.36,
2013-08-05,2050.91,2025.23,2050.48,2050.91,1965.36,买入
2013-08-06,2066.74,2034.96,2060.5,2066.74,1987.88,买入
2013-08-07,2069.56,2043.75,2046.78,2069.56,1997.06,
2013-08-08,2058.56,2037.25,2044.9,2069.56,2025.23,
2013-08-09,2061.71,2030.13,2052.24,2069.56,2025.23,
2013-08-12,2102.35,2055.72,2101.28,2102.35,2030.13,买入
2013-08-13,2106.4,2093.8,2106.16,2106.4,2030.13,买入
2013-08-14,2122.97,2093.04,2100.14,2122.97,2030.13,
2013-08-15,2108.41,2079.97,2081.88,2122.97,2030.13,
2013-08-16,2198.85,2061.65,2068.45,2198.85,2055.72,
2013-08-19,2091.13,2052.7,2085.6,2198.85,2052.7,
2013-08-20,2098.98,2066.07,2072.6,2198.85,2052.7,
2013-08-21,2076.32,2056.91,2072.96,2198.85,2052.7,
2013-08-22,2083.33,2062.37,2067.12,2198.85,2052.7,
2013-08-23,2079.85,2029.37,2057.46,2098.98,2029.37,
2013-08-26,2097.34,2056.13,2096.47,2098.98,2029.37,
2013-08-27,2105.38,2090.43,2103.57,2105.38,2029.37,买入
2013-08-28,2113.82,2080.86,2101.3,2113.82,2029.37,
2013-08-29,2110.89,2088.24,2097.23,2113.82,2029.37,
2013-08-30,2114.39,2089.1,2098.38,2114.39,2056.13,
2013-09-02,2108.68,2078.46,2098.45,2114.39,2078.46,
2013-09-03,2123.85,2095.46,2123.11,2123.85,2078.46,买入
2013-09-04,2133.0,2115.75,2127.62,2133.0,2078.46,买入
2013-09-05,2127.86,2115.24,2122.43,2133.0,2078.46,
2013-09-06,2143.24,2119.02,2139.99,2143.24,2078.46,买入
2013-09-09,2218.53,2151.35,2212.52,2218.53,2095.46,买入
2013-09-10,2238.55,2202.82,2237.98,2238.55,2115.24,买入
2013-09-11,2258.08,2233.0,2241.27,2258.08,2115.24,买入
2013-09-12,2270.27,2226.29,2255.61,2270.27,2119.02,
2013-09-13,2259.42,2228.48,2236.22,2270.27,2151.35,
2013-09-16,2248.47,2226.17,2231.4,2270.27,2202.82,
2013-09-17,2230.93,2184.92,2185.56,2270.27,2184.92,卖出
2013-09-18,2195.9,2172.04,2191.85,2270.27,2172.04,
2013-09-23,2223.07,2198.34,2221.04,2259.42,2172.04,
2013-09-24,2219.54,2187.24,2207.53,2248.47,2172.04,
2013-09-25,2217.97,2193.72,2198.52,2230.93,2172.04,
2013-09-26,2192.23,2154.72,2155.81,2223.07,2154.72,卖出
2013-09-27,2165.78,2149.59,2160.03,2223.07,2149.59,
2013-09-30,2176.3,2165.16,2174.67,2219.54,2149.59,
2013-10-08,2200.02,2161.49,2198.2,2217.97,2149.59,
2013-10-09,2212.35,2185.18,2211.77,2212.35,2149.59,
2013-10-10,2214.59,2186.48,2190.93,2214.59,2149.59,
2013-10-11,2228.87,2200.53,2228.15,2228.87,2161.49,买入
2013-10-14,2242.98,2226.4,2237.77,2242.98,2161.49,买入
2013-10-15,2240.25,2221.14,2233.41,2242.98,2185.18,
2013-10-16,2228.11,2183.4,2193.07,2242.98,2183.4,
2013-10-17,2211.03,2183.25,2188.54,2242.98,2183.25,
2013-10-18,2203.29,2184.36,2193.78,2242.98,2183.25,
2013-10-21,2230.29,2190.39,2229.24,2240.25,2183.25,
2013-10-22,2227.34,2204.24,2210.65,2230.29,2183.25,
2013-10-23,2226.85,2177.73,2183.11,2230.29,2177.73,卖出
2013-10-24,2183.41,2159.87,2164.32,2230.29,2159.87,卖出
2013-10-25,2170.61,2122.68,2132.96,2230.29,2122.68,卖出
2013-10-28,2140.96,2123.07,2133.87,2227.34,2122.68,
2013-10-29,2163.66,2093.2,2128.86,2226.85,2093.2,
2013-10-30,2161.94,2121.84,2160.46,2183.41,2093.2,
2013-10-31,2155.51,2137.47,2141.61,2170.61,2093.2,
2013-11-01,2157.31,2132.63,2149.56,2163.66,2093.2,
2013-11-04,2160.58,2143.21,2149.63,2163.66,2093.2,
2013-11-05,2158.15,2124.85,2157.24,2161.94,2121.84,
2013-11-06,2166.17,2138.78,2139.61,2166.17,2124.85,
2013-11-07,2141.6,2119.19,2129.4,2166.17,2119.19,
2013-11-08,2128.58,2103.51,2106.13,2166.17,2103.51,卖出
2013-11-11,2117.28,2093.63,2109.47,2166.17,2093.63,
2013-11-12,2127.94,2108.4,2126.77,2166.17,2093.63,
2013-11-13,2117.91,2086.01,2087.94,2141.6,2086.01,卖出
2013-11-14,2102.38,2078.99,2100.51,2128.58,2078.99,
2013-11-15,2153.21,2100.79,2135.83,2153.21,2078.99,买入
2013-11-18,2198.32,2143.77,2197.22,2198.32,2078.99,买入
2013-11-19,2203.3,2186.11,2193.13,2203.3,2078.99,
2013-11-20,2207.11,2186.64,2206.61,2207.11,2078.99,买入
2013-11-21,2206.53,2177.74,2205.77,2207.11,2100.79,
2013-11-22,2211.07,2188.77,2196.38,2211.07,2143.77,
2013-11-25,2209.15,2181.42,2186.12,2211.07,2177.74,
2013-11-26,2192.58,2176.18,2183.07,2211.07,2176.18,
2013-11-27,2207.62,2176.85,2201.07,2211.07,2176.18,
2013-11-28,2234.39,2202.62,2219.37,2234.39,2176.18,买入
2013-11-29,2224.94,2212.26,2220.5,2234.39,2176.18,
2013-12-02,2231.92,2172.63,2207.37,2234.39,2172.63,
2013-12-03,2227.93,2193.25,2222.67,2234.39,2172.63,
2013-12-04,2260.87,2215.92,2251.76,2260.87,2172.63,买入
2013-12-05,2255.26,2239.14,2247.06,2260.87,2172.63,
2013-12-06,2248.15,2228.63,2237.11,2260.87,2172.63,
2013-12-09,2249.17,2231.73,2238.2,2260.87,2193.25,
2013-12-10,2250.5,2231.68,2237.49,2260.87,2215.92,
2013-12-11,2228.63,2193.16,2204.17,2255.26,2193.16,卖出
2013-12-12,2214.55,2194.9,2202.8,2250.5,2193.16,
2013-12-13,2204.64,2183.84,2196.08,2250.5,2183.84,
2013-12-16,2201.7,2159.99,2160.86,2250.5,2159.99,卖出
2013-12-17,2165.54,2146.31,2151.08,2228.63,2146.31,卖出
2013-12-18,2156.59,2142.62,2148.29,2214.55,2142.62,
2013-12-19,2159.14,2126.25,2127.79,2204.64,2126.25,卖出
2013-12-20,2131.74,2082.86,2084.79,2201.7,2082.86,卖出
2013-12-23,2099.52,2068.54,2089.71,2165.54,2068.54,
2013-12-24,2111.81,2079.81,2092.91,2159.14,2068.54,
2013-12-25,2107.23,2088.3,2106.35,2159.14,2068.54,
2013-12-26,2102.66,2070.55,2073.1,2131.74,2068.54,
2013-12-27,2110.36,2069.59,2101.25,2111.81,2068.54,
2013-12-30,2112.01,2095.06,2097.53,2112.01,2069.59,
2013-12-31,2120.27,2087.42,2115.98,2120.27,2069.59,买入
2014-01-02,2113.11,2101.02,2109.39,2120.27,2069.59,
2014-01-03,2102.17,2075.9,2083.14,2120.27,2069.59,
2014-01-06,2078.68,2034.01,2045.71,2120.27,2034.01,卖出
2014-01-07,2052.28,2029.25,2047.32,2120.27,2029.25,
2014-01-08,2062.95,2037.11,2044.34,2113.11,2029.25,
2014-01-09,2057.2,2026.45,2027.62,2102.17,2026.45,卖出
2014-01-10,2029.3,2008.01,2013.3,2078.68,2008.01,卖出
2014-01-13,2027.18,2000.4,2009.56,2062.95,2000.4,
2014-01-14,2027.43,2001.14,2026.84,2062.95,2000.4,
2014-01-15,2027.41,2010.2,2023.35,2057.2,2000.4,
2014-01-16,2034.71,2014.41,2023.7,2034.71,2000.4,
2014-01-17,2017.87,2001.33,2004.95,2034.71,2000.4,
2014-01-20,2005.94,1984.82,1991.25,2034.71,1984.82,卖出
2014-01-21,2014.15,1992.02,2008.31,2034.71,1984.82,
2014-01-22,2052.34,2008.93,2051.75,2052.34,1984.82,买入
2014-01-23,2052.53,2039.05,2042.18,2052.53,1984.82,
2014-01-24,2060.99,2034.45,2054.39,2060.99,1984.82,买入
2014-01-27,2044.85,2029.63,2033.3,2060.99,1992.02,
2014-01-28,2047.13,2026.99,2038.51,2060.99,2008.93,
2014-01-29,2051.58,2039.77,2049.91,2060.99,2026.99,
2014-01-30,2045.93,2031.47,2033.08,2060.99,2026.99,
2014-02-07,2044.73,2014.7,2044.5,2051.58,2014.7,
2014-02-10,2087.98,2049.98,2086.07,2087.98,2014.7,买入
2014-02-11,2111.06,2082.52,2103.67,2111.06,2014.7,买入
2014-02-12,2110.9,2096.51,2109.96,2111.06,2014.7,
2014-02-13,2122.83,2096.97,2098.4,2122.83,2014.7,
2014-02-14,2116.19,2095.09,2115.85,2122.83,2049.98,
2014-02-17,2136.45,2117.69,2135.42,2136.45,2082.52,买入
2014-02-18,2134.14,2113.13,2119.07,2136.45,2095.09,
2014-02-19,2152.96,2111.17,2142.55,2152.96,2095.09,买入
2014-02-20,2177.98,2136.48,2138.78,2177.98,2095.09,
2014-02-21,2132.7,2098.33,2113.69,2177.98,2098.33,
2014-02-24,2099.72,2058.79,2076.69,2177.98,2058.79,卖出
2014-02-25,2087.62,2026.54,2034.22,2177.98,2026.54,卖出
2014-02-26,2041.63,2014.38,2041.25,2177.98,2014.38,
2014-02-27,2068.31,2036.39,2047.35,2132.7,2014.38,
2014-02-28,2058.49,2020.94,2056.3,2099.72,2014.38,
2014-03-03,2078.33,2047.07,2075.24,2087.62,2014.38,
2014-03-04,2074.03,2050.13,2071.47,2078.33,2014.38,
2014-03-05,2074.82,2050.18,2053.08,2078.33,2020.94,
2014-03-06,2065.79,2030.95,2059.58,2078.33,2020.94,
2014-03-07,2079.49,2050.47,2057.91,2079.49,2030.95,
2014-03-10,2042.63,1995.55,1999.07,2079.49,1995.55,卖出
2014-03-11,2008.07,1985.6,2001.16,2079.49,1985.6,
2014-03-12,2011.06,1974.38,1997.69,2079.49,1974.38,
2014-03-13,2029.12,1996.53,2019.11,2079.49,1974.38,
2014-03-14,2017.91,1990.98,2004.34,2042.63,1974.38,
2014-03-17,2024.37,1999.25,2023.67,2029.12,1974.38,
2014-03-18,2034.92,2020.41,2025.2,2034.92,1974.38,
2014-03-19,2022.18,2002.44,2021.73,2034.92,1990.98,
2014-03-20,2030.85,1993.0,1993.48,2034.92,1990.98,
2014-03-21,2052.47,1986.07,2047.62,2052.47,1986.07,买入
